Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
cave,How do caves form?,1114,Rainwater falls onto the soil.,The rainwater seeps into the soil.,The water starts going into the bedrock below.,The bedrock erodes after much time passes.,The bedrock forms funnels.,The funnels grow larger and wider.,The funnels finally become caves.,,,
hurricane,Describe the process by which hurricanes form.,1127,Warm water floats up from the ocean.,A pocket of low pressure air is created near the surface of the ocean.,Warm air from outside areas pushes into the low pressure area.,The warm air keeps rising and forms clouds.,The wind is getting fed moisture that evaporates from the ocean.,This moisture causes the swirling air and clouds to grow bigger.,As it gets bigger the wind rotates faster.,,,
hurricane,Describe the process by which hurricanes form.,1128,A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.,Under the right conditions it can develop further and start to spin around a low-pressure center.,"If it develops it's classified as a ""tropical cyclone"" or ""tropical depression"".","If the system strengthens and wind speeds rise past 39 mph, the system is dubbed a ""tropical storm"".","If the pressure in the center drops even further and the winds really pick up and forms a clearly defined ""eye"" it's a hurricane.",,,,,
hurricane,Describe the process by which hurricanes form.,1129,Thunderstorms form over the ocean.,An area of low pressure causes rotation.,Several thunderstorms come together around this area.,The storm is fed by rising air from warm ocean water evaporating.,When the wind speeds reach 74 mph the storm is considered a hurricane.,,,,,
bee hive,How do bees make a hive?,1130,"Bees first secure the perfect spot, such as hollow areas of trees.",Bees will begin to chew max until it becomes softened.,The chewed up wax will be stored inside of a honeycomb.,Worker bees continue chewing and softening wax from within.,"The chewed up wax is steadily added, making the hive bigger and bigger.","The bees will house nectar, honey and pollen within the honeycomb's cells.",,,,
bee hive,How do bees make a hive?,1131,Bees go out during the day and gather food.,"Then while gathering of their food, they make wax, which is the building block of their bee hive.",Bees make food called honey.,"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",Bees produce all of the building blocks to build their hive in their own body.,,,,,
bee hive,How do bees make a hive?,1132,"Bees find a place for the hive, such as a rock crevice or tree branch.",Bees gather nectar from flowers.,The bees evaporate the nectar by passing it back and forth to each other.,The evaporation turns the nectar into sugary honey.,The bees chew the honey until it turns into moldable wax.,The bees mold the wax into hexagonal (six sided) cylinders.,Thousands of these hexagonal cylinders put together form the hive.,,,
owl,How do owls hunt at night?,1136,Owls have specially adapted eyes that see better at night.,Owls sit at high points in trees and look around.,When an owl spots a rodent they track it.,When the rodent is standing still the owl swoops down.,The owl grabs the rodent with their tallons.,The owl uses their beak to eat the rodent.,,,,
owl,How do owls hunt at night?,1137,Owls hunt around their hunting territory away from where they roost during the day.,"They sit still on a perch, like a stump of branch, and wait for prey.",They use their highly sensitive hearing to locate prey that cannot be seen.,They use their very keen vision to see prey in the dark.,"They fly silently, without flapping their wings, in order to surprise the prey.","The owl silently glides or drops on its prey, grabbing it with its talons and beak.","The owl eats the prey, or carries it back to its perch.",,,
owl,How do owls hunt at night?,1138,An owl leaves his nest.,The owl flys out into the night.,The owl looks down at the ground.,The owls keen eyesight allows him to see in the dark.,The owls sensitive hearing allows him to locate hidden prey.,The owl swoops down.,The owl catches a mouse in his talons.,,,
fires affecting animals,Describe how forest fires can negatively affect animals,1142,A forest fire starts.,The fire surrounds the vicinity.,The animals are trapped.,Those that survive have their habitat destroyed.,The survivors must find a new habitat.,Conflict with other animals occur.,,,,
fires affecting animals,Describe how forest fires can negatively affect animals,1143,A forest fire starts.,The trees and plants burn.,The animals lose their homes.,"If the animals can not escape, they may die from smoke inhalation.",The plants that provide food are gone.,The animals have little to eat.,,,,
fires affecting animals,Describe how forest fires can negatively affect animals,1144,Forest fires burn forests.,The animals living in the forest have fewer places to hide.,Predators can now find their prey eaiser.,Birds will fly away from the area.,Waters warm up which hurts the fish swimming in them.,,,,,
red giant,How is a red giant star formed?,1145,A red giant star forms from an existing star.,Formation occurs when the star runs out of hydrogen fuel.,Hydrogen atoms are combined together to form helium atoms.,Energy produced by helium fusion causes the star to expand.,A red giant star is the last stage of stellar evolution.,,,,,
red giant,How is a red giant star formed?,1146,A star burns in space.,The star runs out of hydrogen fuel.,All the hydrogen is turned into helium.,There is no longer energy to keep the star from collapsing.,Gravity takes over.,The star is pulled into itself.,The helium atoms begin to combine into carbon atoms.,The outermost layers of the star are pushed out.,The star is much larger than it was.,The star is a red giant.
red giant,How is a red giant star formed?,1147,Hydrogen atoms in a star combine together to form helium atoms.,All of the hydrogen in a star turns into helium.,The star begins to collapse.,Helium atoms combine together to form carbon atoms.,The star gets much bigger than it was before.,The star is now a red giant.,,,,
solar panel,How does a solar panel work?,1148,"Solar panels actually comprise many, smaller units called photovoltaic cells.",Photovoltaic simply means they convert sunlight into electricity.).,Many cells linked together make up a solar panel.,"Each photovoltaic cell is basically a sandwich made up of two slices of semi-conducting material, usually silicon : .","Manufacturers ""dope"" silicon with other materials, giving each slice of the sandwich a positive or negative electrical charge.","This adds extra electrons, with a negative charge, to that layer.","Meanwhile, the bottom layer gets a dose of boron, which results in fewer electrons, or a positive charge.",This all adds up to an electric field at the junction between the silicon layers.,"When a photon of sunlight knocks an electron free, the electric field will push that electron out of the silicon junction.",A couple of other components of the cell turn these electrons into usable power.
solar panel,How does a solar panel work?,1150,A photovoltaic cell is created with two layers of semiconductor material.,"The top layer are ""doped"" with impurities to allow a negative charge.","The bottom layer are ""doped"" to allow for a positive charge.",This produces an electric field that allows electrons to flow from negative to positve.,Sunlight enters the cell.,Energy from sunlight knocks electrons loose in both fields.,This prevents the flow of electrons from negative to positive.,Adding an external circuit allows the exchange to continue.,Give the cells owner a flow of electricity.,
radioactive atoms,Describe how radioactive atoms decay,1151,A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,"In the process, they will release energy and matter from their nucleus and often transform into a new element.","This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.",He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,,,,,
radioactive atoms,Describe how radioactive atoms decay,1152,The nuclei of some atoms have too few or too many neutrons.,The atoms become unstable.,The atoms split.,"In alpha decay, two protons and two neutrons are released from the atom.","In beta decay, a neutron changes into a proton and an electron.",The proton joins the nucleus of the atom.,The electron is released.,,,
radioactive atoms,Describe how radioactive atoms decay,1153,An isotope has too many protons.,The isotope is unstable.,The isotope emits radiation.,The isotope decays.,The isotope loses some atomic particles.,The isotope turns into a different element.,The isotope is finished decaying and emitting radiation.,,,
oil,How is oil formed?,1154,Plants and animals long ago died.,They are buried under layers of soil.,Pressure builds over time.,The remains liquefy.,The carbon atoms rearrange to become a new substance.,,,,,
oil,How is oil formed?,1155,"Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.","Over time, more sediment piles on top.",The resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.,"Left alone, the kerogen molecules eventually crack.",The molecules break up into shorter and lighter molecules composed almost solely of carbon and hydrogen atoms.,It will turn into either petroleum or natural gas.,,,,
oil,How is oil formed?,1156,Living organisms in the sea die.,The matter forms on the sea floor.,Layers of sediment form above the matter compressing it.,After many years the matter is compressed and heated.,The result is that crude oil forms.,,,,,
digestion,How does the digestive system work?,1158,An enzyme in saliva begins to break down carbohydrates.,Food is squeezed down the esophagus when you swallow.,Acid and enzyme in the stomach break the food down.,Releases nutrients.,Food then pumped into small intestine.,Fluid and enzymes from liver and pancreas pumped into small intestine.,Help break food into smallest molecules.,Nutrients pass through wall of small intestine.,Nutrients absorbed into blood stream.,Unused materials passed into large intestine to become fecal matter.
sunlight,How is sunlight created?,1167,The gravity of the sun pulls its mass inward.,There is a lot of pressure on the Sun.,The pressure forces atoms of hydrogen to fuse together in nuclear reactions.,The energy from the reactions gives off different kinds of light.,The light travels to the Earth.,,,,,
mitosis,Describe the steps in mitosis.,1169,Prophase is the first and longest stage of mitosis. In this stage the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.,In prophase the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.,In metaphase the chromosomes line up across the center of the cell and become connected to the spindle fiber at their centromere.,In anaphase the sister chromatids separate into individual chromosomes and are pulled apart.,During telophase the chromosomes gather at opposite ends of the cell and lose their distinct rod-like shapes.,Two new nuclear membranes then form around each of the two regions of DNA and the spindle fibers disappear.,,,,
mitosis,Describe the steps in mitosis.,1170,"Prophase, the chromosomes become visible.",Centrioles separate to move to opposite poles.,"Metaphase, the chromosomes line up in the center.","Anaphase, the chromatids separate.",Are pulled apart.,"Telophase, the chromosomes gather at opposite poles.",Two new nuclear membranes form.,The cell membranes pinch.,Divide into two individual cells.,
liver,Describe how the liver works,1172,The liver filters blood from the digestive tract.,The liver produces bile.,The liver produces proteins for blood plasma.,The liver converts excess glucose into glycogen for storage.,The liver converts ammonia to urea.,The liver regulates blood clotting.,,,,
water purifier,How does a water purifier work?,1183,Water comes through a filter.,The filter has small pores to catch pollutants.,"The filter will catch chlorine, heavy metals, and other chemicals.",The filter allows water and mineral ions like fluoride to pass through.,The water on the other side of the filter is much cleaner.,,,,,
battery,How does does a battery produce electricity?,1184,Chemical reactions in the battery causes a build up of electrons at the anode.,This results in an electrical difference between the anode and the cathode.,The electrons wants to rearrange themselves to get rid of this difference.,The electrons go to the cathode.,Electricty is created.,,,,,
meteorites,Describe how meteorites create craters on a planet.,1188,Comets fly around in outer space.,A comet flies close to a planet.,The comet enters the planet's atmosphere.,The comet crashes into the planet.,The energy of the impact creates a hole on the planet.,,,,,
meteorites,Describe how meteorites create craters on a planet.,1189,Chunks of rocks break off of meteorites.,The rock passes through the atmosphere.,The rock is too big to be slowed down.,The chunks smash into the earth at a high velocity.,The angle the meteorite hits can impact how large the crater is.,The material it hits also helps determine the size of the crater.,,,,
heart,How does the heart work?,1190,Two large veins bring blood to the heart.,The blood enters the right atrium.,The blood flows through the tricuspid valve.,The blood travels into the right ventricle.,The blood goes through the pulmonary arteries to the lungs.,Blood picks up oxygen in the lungs.,Oxygenated blood enters the left atrium.,Blood goes to the left ventricle.,Blood leaves the heart via the aorta to the rest of the body.,The deoxygenated blood returns to the heart.
eagle,How does an eagle get food?,1195,An eagle flys along.,The eagle spots a mouse on the ground.,The eagle swoops down.,Catches the mouse in its talons.,The eagle has a meal.,,,,,
muscle energy,How does eating food result in energy for your muscles?,1197,Food enters the mouth.,Food mixes with saliva.,Food is swallowed.,Enzymes in the stomach break down the food.,The food moves to the small intestine.,Hormones from the pancreas move to the small intestine.,The hormones create the amount of sugar in the blood from the food.,The sugar in the blood travels to the body.,The sugar provides energy for the muscles.,
protein synthesis,How are proteins synthesized in a cell?,1202,Information encoded in DNA is copied to a RNA molecule.,The mRNA molecule is sent to the cytoplasm.,The mRNA bonds with ribosomes.,TMRNA molecules bind with the ribosome in a sequence defined by the mRNA code.,The ribosome slides down the mRNA.,The process continues until one of the stop codons enters the A site.,,,,
protein synthesis,How are proteins synthesized in a cell?,1203,Proteins are entered into a phase called transcription.,DNA is unwound partially so that it can be transcribed.,DNA is sent to be translated in cytoplasm where it forms with ribosomes.,Ribosomes bind the new DNA molecules.,The transcription and translation continue until the DNA is copied.,,,,,
protein synthesis,How are proteins synthesized in a cell?,1204,"MRNA is made during the first step of protein synthesis, which is transcription.","The DNA's genetic information, or secret code, gets written onto a strand of mRNA.",Transcription takes place in the nucleus.,The next step in making a protein is called translation.,The mRNA attaches itself to the ribosome.  Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright    Ducksters. Do not use without permission.,"The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.",The ribosome then moves down the strand of mRNA.,"When the ribosome sees the ""stop"" code, it ends the translation and the protein is complete.",,
treating a cut,Describe the steps in how a cut on your hand is treated and heals,1205,You wash the wound.,You apply a bandaid or other covering if needed.,The blood clots.,A scab forms.,The skin repairs itself under the protective cover of the scab.,The scab falls off.,,,,
treating a cut,Describe the steps in how a cut on your hand is treated and heals,1207,"Your body accomplishes ""rapid hemostasis"" (stops the bleeding) through a process called vasoconstriction, in which your blood vessels are closed tight.",Inflammation is your body's way of alerting you of an injury.,Proliferation and migration is when cells move in a certain orderto been to heel and to further contract blood vessels. and.,The body then begins the process of rebuilding tissue and is called angiogenesis.,It's time to begin regrowing damaged skin which is called reepithelialization.,Synthesis often happens almost simultaneously as it form blood clots.,Synthesis helps further prevent bleeding as new skin and veins are formed.,,,
internal combustion engine,How does the internal combustion engine work?,1208,Fuel mixes with air.,Mix gets inducted into cylinder.,Piston compresses the mix.,Spark plug emits a spark that ignites it causing combustion.,Combustion gases expand.,Pushes piston during power stroke.,Exhaust valve opens to vent exhaust out tail pipe.,,,
icberg,How do icebergs form?,1213,You start with a glacier.,Through warming or other methods a chunk is taken off the glacier.,The chunk drifts into the sea.,And it settles where it can remain in its state.,It is considered an iceberg.,,,,,
insulin,How does insulin help the body?,1214,A person eats food.,The person's blood sugar level rises.,The pancreas receives a signal to release insulin.,Insulin is released into the bloodstream.,Insulin signals cells to absorb sugar.,The cells absorb sugar from the bloodstream.,The cells use the sugar as energy.,,,
insulin,How does insulin help the body?,1216,You eat food.,Your stomach digests the food.,Sugars from food enter your bloodstream.,Insulin helps turn sugars into energy.,"Insulin helps your body store the energy in fat, muscle and liver cells.",,,,,
forest,How do forests form?,1217,A tree produces seeds.,"The seeds are dispersed by wind, animals, etc.",The seeds reach the ground.,Grow into new trees.,These new trees produce seeds.,The process repeats itself over and over.,,,,
forest,How do forests form?,1218,Networks of trees start forming.,The trees die off.,The dead material provides nutrients for more trees.,The rising trees provide shelter.,And more organisms begin to thrive.,The ecosystem known as a forest is made.,,,,
forest,How do forests form?,1219,Grass and small plants grow in an area.,These plants die.,The soil gains organic material.,The soil becomes more fertile.,Larger plants are able to be supported.,Trees eventually grow.,,,,
nuclear power plant,How does a nuclear power plant work?,1223,A fuel source must produce heat.,Heat is used to create steam.,Steam will be used to power turbines.,Turbines will work together with magnets to generate electricity.,Electricity or moving electrons will then flow through wires.,The wires will carry electrons to homes and businesses remotely.,,,,
nuclear power plant,How does a nuclear power plant work?,1224,"Nuclear plants use uranium-235, which is unstable.","Uranium-235 splits, releasing energy and neutrons.","The neutrons hit other atoms, splitting them.",This continues until the reaction is self-sustaining.,Rods containing uranium are used in the power plant.,Control rods slow or accelerate the reaction.,Heat from the fission turns water into steam.,The steam drives a turbine.,The turbine drives a generator.,The generator creates electricity.
pancreas,What does the pancreas do?,1226,Food is entered into the gut.,The pancreas secretes enyzmes.,Some of the enzymes break down fat.,It breaks down carbohydrates.,The broken down food can be passed.,Absorbed by the body.,,,,
air conditioner,How does an air conditioner work?,1240,Fans blow air onto the evaporator's coils.,The refrigerant within the coils absorbs the heat.,The refrigerant changes from a liquid to a gas.,"The compressor compresses the gas, increasing the pressure.","The hot, pressurized gas moves to the condenser.",The gas condenses in the condenser and becomes a liquid again.,Heat is radiated away from the condenser.,The cooled liquid is returned to the evaporator.,,
telephone,Describe how a message travels from one person to another over via telephone,1250,You speak into the receiver on your phone.,Sound waves move parts inside the receiver.,Movement causes the magnet inside to produce eletricity.,Electricity is transferred through  a wire or cable.,A membrane in the other persons phone is vibrated by the magnet in their telephone.,Sound is produced.,They hear you.,,,
black hole,How is a black hole formed?,1258,Stars burn mass.,The star burns until it runs out of fuel.,The star can no longer support its weight.,The layers of hydrogen press down on the core.,The core gets smaller and smaller under the pressure.,The pressure causes gravity to get stronger.,The gravity becomes so powerful that nothing can escape it.,"Anything that gets close to it, is drawn into it by its gravity.",Light is drawn into it.,Light can not escape.
spider,How does a spider make its web?,1259,A spider must find a suitable place for its web.,The spider produces a thread from one its glands from one point to another.,The spider does this in several points.,The spider threads through each of the other threads forming a web.,The spider reinforces the web.,,,,,
spider,How does a spider make its web?,1260,The spider picks a suitable place.,The spider produces sticky silk from its abdomen.,The spider attaches it to objects where it wants to build the web.,The spider strings this silk back and forth between objects.,A web is created.,,,,,
bird's nest,How does a bird build a nest?,1265,The bird picks a tree.,The bird collects twigs and other refuse.,The bird makes a flat base with twigs.,The bird makes sides with twigs and other things.,The bird adds softer material to the inside.,The nest is done.,,,,
bird's nest,How does a bird build a nest?,1266,"A bird picks a spot high spot, often in a tree.",The bird collects bits of sticks and grass.,The sicks and grasses are placed between support branches.,"Leaves, mud and spider webs are added to the sticks.","The mud, leaves and webs glue the sticks together.",The solid nest supports the eggs.,,,,
pollination,How does pollination happen?,1273,A flowering plant has stamen and pistils.,An insect ot bird lands on the plant.,Some of the pollen sticks to it.,The insect or bird travels to another plant of the same species.,The pollen is tranferred to the new plant.,,,,,
pancake,Describe how to make pancakes.,1290,Mix pancake mix with water.,Heat a griddle.,Pour a circle of batter in the griddle.,"When most of the bubbles pop on the surface, flip.",Cook to desired color.,"Apply butter, syrup and enjoy.",,,,
pancake,Describe how to make pancakes.,1291,"Mix flour, baking powder, sugar, and salt into a bowl.","Mix in milk, eggs, and melted butter.",Mix until smooth.,Heat a griddle or frying pan to medium high.,Pour batter onto the griddle.,,,,,
coffee,Describe the typical steps in making coffee.,1293,The carafe is filled with water.,The water is poured into the machine at the back.,Coffee beans are put into a grinder.,The grinder is activated.,A filter is put into the coffee maker.,The ground coffee is put into the filter.,Sometimes a bit of salt is added to the grounds to bring out flavor.,The top of the machine is closed.,The power is turned on.,The water passes through the grounds and becomes coffee.
coffee,Describe the typical steps in making coffee.,1294,The coffee pot is filled with water.,Water is poured into the well of the machine.,A filter is placed in the basket.,Ground coffee is measured into the filter.,Turning on the machine starts the water heating.,The hot water rises up.,The water drops into the ground coffee.,The hot water passes through the grounds.,The coffee drips into the pot from the basket.,
desalination,How does a desalination plant remove salt from water?,1295,Place the water in a pot.,Cover the pot with a slightly too large cover.,Place a larger pot under the first.,Heat water to evaporation.,Water vapor will collect on the lid.,Drip into the second pot as fresh water.,Salt is left behind in the original pot.,,,
kidney,How do kidneys filter blood?,1298,Blood carried into kidney by the renal artery.,Nephrons in the kidney filter the blood.,The waste that is filtered out mixes with water.,Become urine.,Ureters carry urine out of the kidneys.,,,,,
kidney,How do kidneys filter blood?,1299,Blood enters the kidney.,The blood travels into the neophrons.,Waste is expelled via the neophrons.,The waste goes to the bladder in the form of urine.,The clean blood exits the kidneys.,,,,,
pasteurization,Describe the process of pasteurization.,1303,Food or milk that could spoil easily is brought in.,Through methods of heating the food is treated.,The microbes that may proliferate in the food are destroyed.,Depending on the treatment this happens a few more times.,The food is considered pasteurized.,,,,,
squirrel,Describe how squirrels prepare for winter.,1310,Squirrels try to eat as much as possible.,Squirrel gains weight and fat.,Squirrel also hides food in or near its den.,Squirrels also grow a thicker coat as the weather gets colder.,Squirrel lives off of its excess body fat.,Squirrel uses its food stores in the winter.,,,,
tree,Describe the life cycle of a tree.,1314,The primary root breaks from the seed.,A shoot develops with a leaf.,The shoot breaks through the soil as a seedling.,The tree becomes a sapling when it gets taller than 3 ft.,The mature tree produces flowers or fruit.,Seeds are produced from the flowers or fruit.,A dead or dying tree is known as a snag.,,,
microwave oven,How does a microwave oven work?,1333,The magnetron converts electricity into radio waves.,The radio waves go through a wave guide.,The radio waves go into the food compartment.,Microwaves bounces off the metal walls of the food compartment.,Microwaves pass through the food.,Microwaves make the molecules in the food move more quickly.,The food heats up.,,,
